Index,Value
2.095000000000000000e+03,4.341491405005116349e+02
2.096153037383177434e+03,4.342813528778183354e+02
2.097306074766355323e+03,4.344028330279007264e+02
2.098459112149532757e+03,4.345146359870622632e+02
2.099612149532710191e+03,4.346179378686568953e+02
2.100765186915887625e+03,4.347140202974304657e+02
2.101918224299065514e+03,4.348042534436304436e+02
2.103071261682242948e+03,4.348900778821839594e+02
2.104224299065420382e+03,4.349729855178537719e+02
2.105377336448598271e+03,4.350544998296819585e+02
2.106530373831775705e+03,4.351361556970712741e+02
2.107683411214953139e+03,4.352194790754127212e+02
2.108836448598131028e+03,4.353059667911610973e+02
2.109989485981308462e+03,4.353970667246795756e+02
2.111142523364485896e+03,4.354941586440184551e+02
2.112295560747663330e+03,4.355985359441542073e+02
2.113448598130841219e+03,4.357113885341863693e+02
2.114601635514018653e+03,4.358337870997452796e+02
2.115754672897196087e+03,4.359666689496023082e+02
2.116907710280373976e+03,4.361108256344328424e+02
2.118060747663551410e+03,4.362668925021492328e+02
2.119213785046728844e+03,4.364353403285030595e+02
2.120366822429906733e+03,4.366164691340936201e+02
2.121519859813084167e+03,4.368104042698867602e+02
2.122672897196261601e+03,4.370170948232185424e+02
2.123825934579439036e+03,4.372363143654438886e+02
2.124978971962616924e+03,4.374676640312913491e+02
2.126132009345794359e+03,4.377105778890196461e+02
2.127285046728971793e+03,4.379643305300504039e+02
2.128438084112149681e+03,4.382280467772733914e+02
2.129591121495327116e+03,4.385007133830876001e+02
2.130744158878504550e+03,4.387811925618144642e+02
2.131897196261682438e+03,4.390682371767597374e+02
2.133050233644859873e+03,4.393605073802260108e+02
2.134203271028037307e+03,4.396565884854832120e+02
2.135356308411214741e+03,4.399550098333410801e+02
2.136509345794392630e+03,4.402542644027627148e+02
2.137662383177570064e+03,4.405528289050728858e+02
2.138815420560747498e+03,4.408491840948974527e+02
2.139968457943925387e+03,4.411418350280869163e+02
2.141121495327102821e+03,4.414293309975828947e+02
2.142274532710280255e+03,4.417102848824672492e+02
2.143427570093458144e+03,4.419833916532190301e+02
2.144580607476635578e+03,4.422474457874147902e+02
2.145733644859813012e+03,4.425013573645793485e+02
2.146886682242990446e+03,4.427441666264292621e+02
2.148039719626168335e+03,4.429750568091347986e+02
2.149192757009345769e+03,4.431933650771740645e+02
2.150345794392523203e+03,4.433985914135656685e+02
2.151498831775701092e+03,4.435904053483986900e+02
2.152651869158878526e+03,4.437686504362969231e+02
2.153804906542055960e+03,4.439333464233421296e+02
2.154957943925233849e+03,4.440846890746656754e+02
2.156110981308411283e+03,4.442230476649883144e+02
2.157264018691588717e+03,4.443489601654218291e+02
2.158417056074766151e+03,4.444631261904397661e+02
2.159570093457944040e+03,4.445663977986721420e+02
2.160723130841121474e+03,4.446597682696789775e+02
2.161876168224298908e+03,4.447443590057376355e+02
2.163029205607476797e+03,4.448170238914568131e+02
2.164182242990654231e+03,4.447149007469956814e+02
2.165335280373831665e+03,4.446079755119538390e+02
2.166488317757009554e+03,4.444977201412058889e+02
2.167641355140186988e+03,4.443856479182405224e+02
2.168794392523364422e+03,4.442732934536739435e+02
2.169947429906541856e+03,4.441621924009083955e+02
2.171100467289719745e+03,4.440538611583003785e+02
2.172253504672897179e+03,4.439497768273888596e+02
2.173406542056074613e+03,4.438513576933266904e+02
2.174559579439252502e+03,4.437599444867291254e+02
2.175712616822429936e+03,4.436767826757736088e+02
2.176865654205607370e+03,4.436030060236998906e+02
2.178018691588785259e+03,4.435396216300612195e+02
2.179171728971962693e+03,4.434874966543682717e+02
2.180324766355140127e+03,4.434473468984231204e+02
2.181477803738317562e+03,4.434197273989636869e+02
2.182630841121495450e+03,4.434050251555341902e+02
2.183783878504672884e+03,4.434034540901452033e+02
2.184936915887850319e+03,4.434150523056466682e+02
2.186089953271028207e+03,4.434396816792107074e+02
2.187242990654205641e+03,4.434770297963091252e+02
2.188396028037383076e+03,4.435266141994883355e+02
2.189549065420560510e+03,4.435877888955045592e+02
2.190702102803738399e+03,4.436597530343897802e+02
2.191855140186915833e+03,4.437415616451731921e+02
2.193008177570093267e+03,4.438321382856756827e+02
2.194161214953271156e+03,4.439302894383686748e+02
