Index,Value
2.136000000000000000e+03,4.401220655806033619e+02
2.136843003412969210e+03,4.403407991787307196e+02
2.137686006825938421e+03,4.405589280125055893e+02
2.138529010238907631e+03,4.407758588507514901e+02
2.139372013651877296e+03,4.409910055308483834e+02
2.140215017064846506e+03,4.412037931391209327e+02
2.141058020477815717e+03,4.414136621114346326e+02
2.141901023890784927e+03,4.416200722248727288e+02
2.142744027303754137e+03,4.418225064521453191e+02
2.143587030716723348e+03,4.420204746513520604e+02
2.144430034129693013e+03,4.422135170648912208e+02
2.145273037542662223e+03,4.424012076026649538e+02
2.146116040955631433e+03,4.425831568862598147e+02
2.146959044368600644e+03,4.427590150324804199e+02
2.147802047781569854e+03,4.429284741564660521e+02
2.148645051194539064e+03,4.430912705766102135e+02
2.149488054607508730e+03,4.432471867056224824e+02
2.150331058020477940e+03,4.433960526142995491e+02
2.151174061433447150e+03,4.435377472568991379e+02
2.152017064846416361e+03,4.436721993494098797e+02
2.152860068259385571e+03,4.437993878944815265e+02
2.153703071672354781e+03,4.439193423492827719e+02
2.154546075085324446e+03,4.440321424350950110e+02
2.155389078498293657e+03,4.441379175899920142e+02
2.156232081911262867e+03,4.442368460684932074e+02
2.157075085324232077e+03,4.443291536945807252e+02
2.157918088737201288e+03,4.444151122769387712e+02
2.158761092150170498e+03,4.444950376976667030e+02
2.159604095563139708e+03,4.445692876880403901e+02
2.160447098976109373e+03,4.446382593071185170e+02
2.161290102389078584e+03,4.447023861410976906e+02
2.162133105802047794e+03,4.447621352433094444e+02
2.162976109215017004e+03,4.448180038365878204e+02
2.163819112627986215e+03,4.448705158014296330e+02
2.164662116040955425e+03,4.449202179748859294e+02
2.165505119453925090e+03,4.449676762864719990e+02
2.166348122866894300e+03,4.450134717585371504e+02
2.167191126279863511e+03,4.450581963994998773e+02
2.168034129692832721e+03,4.451024490191152267e+02
2.168877133105801931e+03,4.451468309954932465e+02
2.169720136518771142e+03,4.451919420239325973e+02
2.170563139931740807e+03,4.452383758777597222e+02
2.171406143344710017e+03,4.452867162112810888e+02
2.172249146757679227e+03,4.453375324346553725e+02
2.173092150170648438e+03,4.453913756899830219e+02
2.173935153583617648e+03,4.454487749571892437e+02
2.174778156996586858e+03,4.455102333173583702e+02
2.175621160409556524e+03,4.455762244000562760e+02
2.176464163822525734e+03,4.456471890398707387e+02
2.177307167235494944e+03,4.457235321659169927e+02
2.178150170648464155e+03,4.458056199463964049e+02
2.178993174061433365e+03,4.458937772084892117e+02
2.179836177474402575e+03,4.459882851519023461e+02
2.180679180887372240e+03,4.460893793723126350e+02
2.181522184300341451e+03,4.461972482087401772e+02
2.182365187713310661e+03,4.463120314265886464e+02
2.183208191126279871e+03,4.464338192457043419e+02
2.184051194539249082e+03,4.465626517203565413e+02
2.184894197952218292e+03,4.466985184755387195e+02
2.185737201365187502e+03,4.468413588014659013e+02
2.186580204778157167e+03,4.469910621055914248e+02
2.187423208191126378e+03,4.471474687189343626e+02
2.188266211604095588e+03,4.473103710509880671e+02
2.189109215017064798e+03,4.474795150850054597e+02
2.189952218430034009e+03,4.476546022030397580e+02
2.190795221843003219e+03,4.478352913277785774e+02
2.191638225255972884e+03,4.480212013659548234e+02
2.192481228668942094e+03,4.482119139359821247e+02
2.193324232081911305e+03,4.484069763604388754e+02
