Index,Value
0.000000000000000000e+00,1.000000000000000000e+01
1.531486146095717871e+00,1.053541918884955209e+01
3.062972292191435741e+00,1.106724940767765730e+01
4.594458438287153612e+00,1.159198528336768774e+01
6.125944584382871483e+00,1.210628667981612949e+01
7.657430730478589354e+00,1.260705647025387499e+01
9.188916876574307224e+00,1.309151262132979454e+01
1.072040302267002509e+01,1.355725290165999652e+01
1.225188916876574297e+01,1.400231070019774471e+01
1.378337531486146084e+01,1.442520064788629597e+01
1.531486146095717871e+01,1.482495297474860330e+01
1.684634760705289835e+01,1.520113579825636663e+01
1.837783375314861445e+01,1.555386482133366499e+01
1.990931989924433054e+01,1.588380021307419376e+01
2.144080604534005019e+01,1.619213074528676088e+01
2.297229219143576984e+01,1.648054555630788442e+01
2.450377833753148593e+01,1.675119420314952379e+01
2.603526448362720203e+01,1.700663593720435784e+01
2.756675062972292167e+01,1.724977939099325752e+01
2.909823677581864132e+01,1.748381408790407576e+01
3.062972292191435741e+01,1.771213537828367990e+01
3.216120906801007351e+01,1.793826455912518725e+01
3.369269521410579671e+01,1.816576604733766942e+01
3.522418136020151280e+01,1.839816354555703271e+01
3.675566750629722890e+01,1.863885716303952833e+01
3.828715365239294499e+01,1.889104343182165024e+01
3.981863979848866109e+01,1.915764009055537898e+01
4.135012594458438429e+01,1.944121739682201166e+01
4.288161209068010038e+01,1.974393757590434362e+01
4.441309823677581647e+01,2.006750382353236617e+01
4.594458438287153967e+01,2.041312005647122163e+01
4.747607052896725577e+01,2.078146235322646618e+01
4.900755667506297186e+01,2.117266275349093618e+01
5.053904282115868796e+01,2.158630579565467755e+01
5.207052896725440405e+01,2.202143787351748827e+01
5.360201511335012725e+01,2.247658919326220683e+01
5.513350125944584335e+01,2.294980781679043957e+01
5.666498740554155944e+01,2.343870499459588075e+01
5.819647355163728264e+01,2.394051072707626915e+01
5.972795969773299873e+01,2.445213825374998251e+01
6.125944584382871483e+01,2.497025596085178734e+01
6.279093198992443092e+01,2.549136502412708438e+01
6.432241813602014702e+01,2.601188096938951588e+01
6.585390428211586311e+01,2.652821724169636042e+01
6.738539042821159342e+01,2.703686882697613925e+01
6.891687657430730951e+01,2.753449396871405597e+01
7.044836272040302561e+01,2.801799206689239341e+01
7.197984886649874170e+01,2.848457593575026436e+01
7.351133501259445779e+01,2.893183672897897907e+01
7.504282115869017389e+01,2.935780001261408145e+01
7.657430730478588998e+01,2.976097167310483727e+01
7.810579345088160608e+01,3.014037258598634850e+01
